contractId,description,category,status,progress,region,province,latitude,longitude,startDate,completionDate,infraYear,programName,sourceOfFunds,budget,amountPaid,contractorId,image_folder_path,downloaded_image_count,date_00_pre_start,date_25_progress,date_50_progress,date_75_progress,date_100_completed,date_post_completion,osm_mask_path,delta_00_to_25,delta_25_to_50,delta_50_to_75,delta_75_to_10,delta_10_to_po,construction_cluster
19kh0014,"asset preservation construction/ upgrading/ rehabilitation of drainage along national roads - primary roads butuan city-cagayan de oro city-iligan city rd - k1440+207.80 - k1440+980, k1443+137 - k1443+569",roads,completed,100.0,Region X,Cagayan de Oro City 1st DEO,8.4966667,124.6305556,2019-07-25,2020-10-12,2019,regular infra,regular infra - gaa 2019 oo-1,68202881.62,0,18310,data/images/19kh0014,6,2019-06-25,2019-11-13,2020-03-03,2020-06-22,2020-10-12,2020-11-11,data/images/19kh0014/19kh0014_road_mask.png,0.0549119375646114,0.0411308296024799,0.0440407432615757,0.0613834336400032,0.0882969424128532,0.0
21e00005,"construction of missing links/new roads victoria sablayan (mindoro cross island road), package vii, sta. 6+220.00 - sta. 7+800.00. occidental mindoro",roads,completed,100.0,Region IV-B,Region IV-B,12.9912271,120.9181184,2021-02-25,2023-05-05,2021,regular infra,regular infra - gaa 2021 oo-1,106149988.07,0,21547,data/images/21e00005,6,2021-01-26,2021-09-12,2022-03-31,2022-10-17,2023-05-05,2023-06-04,data/images/21e00005/21e00005_road_mask.png,0.0597420968115329,0.0538376607000827,0.0771109461784362,0.0521197691559791,0.0445371828973293,2.0
22jb0013,"construction of road slope protection structure at specific locations along sindangan-bayog-lakewood rd (s01059mn) chainage 10542.2 - chainage 10650, chainage 11244.80 - chainage 11347.",roads,completed,100.0,Region IX,Zamboanga del Norte 2nd DEO,8.0925515,123.0000184,2022-03-24,2023-09-28,2022,regular infra,regular infra - gaa 2022 oo-1,58229258.0,0,32876,data/images/22jb0013,6,2022-02-22,2022-08-09,2022-12-25,2023-05-12,2023-09-28,2023-10-28,data/images/22jb0013/22jb0013_road_mask.png,0.1887318938970565,0.2310210168361663,0.2927336394786834,0.2095889151096344,0.1505947262048721,2.0
23k00259,"construction of by-pass and diversion roads, masterson avenue alternate road, package 3, cagayan de oro city",roads,completed,100.0,Region X,Region X,8.4265472,124.6035694,2023-05-29,2025-04-28,2023,regular infra,regular infra - gaa 2023 oo-1,36714428.0,0,41868,data/images/23k00259,6,2023-04-29,2023-11-20,2024-05-13,2024-11-04,2025-04-28,2025-05-28,data/images/23k00259/23k00259_road_mask.png,0.0905952155590057,0.0834695845842361,0.0760994181036949,0.0815372020006179,0.0882128104567527,0.0
21lc0082,"construction of road, nrj daang maharlika bunawan proper - barangay san isidro - kiotoy - mabunao - kauswagan - jct. panabo city fatima - malabog road panabo city, davao del norte",roads,completed,100.0,Region XI,Davao del Norte DEO,7.2449389,125.6042861,2021-07-15,2022-12-16,2021,regular infra,regular infra - gaa 2021 lp,88780000.0,0,22998,data/images/21lc0082,6,2021-06-15,2021-11-21,2022-03-31,2022-08-08,2022-12-16,2023-01-15,data/images/21lc0082/21lc0082_road_mask.png,0.0669615566730499,0.0693059787154197,0.1148766428232193,0.127683624625206,0.1054809764027595,0.0
21pc0007,"network development-construction of missing links/new roads-adams (ilocos norte)-calanasan (apayao) road, apayao",roads,completed,100.0,Cordillera Administrative Region,Apayao 2nd DEO,18.3797414,120.9595533,2021-03-18,2022-10-03,2021,regular infra,regular infra - gaa 2021 oo-1,96442993.59,0,26788,data/images/21pc0007,6,2021-02-16,2021-08-06,2021-12-25,2022-05-15,2022-10-03,2022-11-02,data/images/21pc0007/21pc0007_road_mask.png,0.1081247627735138,0.1156132295727729,0.0962695553898811,0.0401152223348617,0.0634985417127609,1.0
23dc0050,"organizational outcome 1: ensure safe and reliable national road system, network development program - construction of by-pass and diversion roads, malvar-sto. tomas, batangas",roads,completed,100.0,Region IV-A,Batangas 3rd DEO,14.0451731,121.1591681,2023-03-10,2024-11-26,2023,regular infra,regular infra - gaa 2023 oo-1,72374670.0,0,17426,data/images/23dc0050,6,2023-02-08,2023-08-13,2024-01-17,2024-06-22,2024-11-26,2024-12-26,data/images/23dc0050/23dc0050_road_mask.png,0.1349994093179702,0.1070569604635238,0.1162006556987762,0.1035884544253349,0.0002926638408098,1.0
23jh0011,construction of drainage structure along basilan circumferential road k 0004+500 to k 0004+800,roads,completed,100.0,Region IX,Isabela City DEO,6.6742539,121.965175,2023-07-06,2024-07-22,2023,regular infra,regular infra - gaa 2023 oo-1,3906799.52,0,40756,data/images/23jh0011,6,2023-06-06,2023-10-09,2024-01-13,2024-04-17,2024-07-22,2024-08-21,data/images/23jh0011/23jh0011_road_mask.png,0.062867134809494,0.1050885394215583,0.0976458936929702,0.0900028571486473,0.0523311533033847,2.0
22n00082,"construction of lake mainit circumferential- lipata port by-pass road to wind power generation, san francisco section, package 1, surigao del norte",roads,completed,100.0,Region XIII,Region XIII,9.7648133,125.4033117,2022-04-20,2024-02-29,2022,regular infra,regular infra - gaa 2022 cssp,115799754.99,0,14332,data/images/22n00082,6,2022-03-21,2022-10-07,2023-03-26,2023-09-12,2024-02-29,2024-03-30,data/images/22n00082/22n00082_road_mask.png,0.0757593587040901,0.0622850321233272,0.1359161585569381,0.1149554923176765,0.0719934925436973,2.0
23k00174,construction of diversion road along jct sh (jct buda-quezon-manuto- minsamongan-c handumanan-balangigay-tandong-san vicente- kianggat-dangcagan-jct sh (quezon section) package 3,roads,completed,100.0,Region X,Region X,7.7048506,125.0947065,2023-05-29,2024-07-28,2023,regular infra,regular infra - gaa 2023 oo-1,173937922.92,0,43865,data/images/23k00174,6,2023-04-29,2023-09-12,2023-12-28,2024-04-12,2024-07-28,2024-08-27,data/images/23k00174/23k00174_road_mask.png,0.0524572655558586,0.0751498118042945,0.1065355390310287,0.1081030145287513,0.0680726990103721,2.0
